Name,Email,Telefonnummer,Adresse,Beruf,Alter,Risiko,Kommunikationsfähigkeit,Empathie,Teamfähigkeit,Konfliktlösung,Empathische Kommunikation,Kundenorientierung,Networking,Flexibilität,Selbstmotivation,Belastbarkeit,Emotional Intelligence,Analytisches Denken,Entscheidungsfreude,Zielorientierung,Offenheit für Feedback,Selbstreflexion,Teamführung,Verhandlungsgeschick,Konfliktmanagement,Durchsetzungsvermögen,Kreativität,Zeitmanagement,Organisationsfähigkeit,Lernbereitschaft,Java,Python,C++,JavaScript,Ruby,PHP,Swift,Kotlin,C#,Go (Golang),HTML5,CSS3,React.js,Angular,Vue.js,Bootstrap,jQuery,SQL (Structured Query Language),MySQL,PostgreSQL,MongoDB,Oracle,Microsoft SQL Server,Datenbankdesign,Amazon Web Services (AWS),Microsoft Azure,Google Cloud Platform (GCP),Docker,Kubernetes,Continuous Integration / Continuous Deployment (CI/CD),Node.js,Express.js,Spring Framework (Java),Django (Python),Ruby on Rails,Laravel (PHP),Netzwerksicherheit,Ethical Hacking,Penetration Testing,Informationssicherheitsmanagement,Incident Response,Android App Entwicklung (Java/Kotlin),iOS App Entwicklung (Swift),"Cross-Platform-Entwicklung (z. B. React Native, Flutter)",Data Science,Maschinelles Lernen (Machine Learning),Künstliche Intelligenz (AI),Deep Learning,Data Mining,Linux-Administration,Windows Server-Administration,Netzwerkadministration,Testautomatisierung,Testmanagement,Last- und Performance-Testing
Roselinde Pölitz,nscheibe@example.net,00465 35773,"Traugott-Eckbauer-Allee 46
61679 Nauen",Bäcker,2006-09-07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Kaspar Jungfer-Winkler,loni36@example.com,+49(0)1210 886219,"Fernando-Kühnert-Platz 6/9
95899 Neuss",Arzt,1931-02-24,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dipl.-Ing. Aleksandar Weinhold,junckklaas@example.net,+49(0) 513394171,"Grein Grothallee 839
25882 Melle",Asphaltbauer,1914-11-13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dorothee Zahn,putztibor@example.org,(00652) 957473,"Yvette-Meyer-Weg 9
50795 Iserlohn",Fleischer,1961-09-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mariele Eigenwillig,kuehnertamanda@example.com,+49(0)2152098696,"Alfred-Mies-Gasse 887
43058 Lübeck",Altenpfleger,2018-02-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hans-Dieter Henschel-Gutknecht,resi77@example.net,0219831217,"Conrad-Dowerg-Gasse 733
58055 Rosenheim",Erzieher,1934-10-20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dr. Andrei Davids,kuschanneliese@example.net,+49 (0) 5076 044313,"Pedro-Finke-Gasse 644
23241 Kötzting",Krankenschwester,2015-08-26,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Prof. Adelheid Albers B.Sc.,natalie37@example.org,0805161415,"Misicherplatz 007
44467 Forchheim",Bankkaufmann,1916-05-11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jakob Scholz,walentina79@example.com,+49(0) 763369424,"Weißstraße 895
03616 Crailsheim",Ausbaufacharbeiter,1963-11-02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Dr. Betina Knappe,schmidtkejan@example.com,(03086) 771447,"Horst-Dieter-Kraushaar-Straße 56
63317 Cuxhaven",Mathematiker,1992-08-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gordon Weinhold-Bolnbach,ugraf@example.com,04455 87037,"Josef-Löffler-Allee 077
87531 Kusel",Koreanistiker,1931-10-04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Elmar Dehmel,joergfliegner@example.net,+49(0) 762960654,"Hermann Josef-Schüler-Gasse 3/4
24846 Olpe",Designer,1926-08-19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stavros Junck,bstadelmann@example.com,02724 27931,"Weimerstr. 380
16118 Bayreuth",Forstwirt,1930-07-20,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Barbara Ullrich,lissy59@example.net,0195845620,"Milena-Zahn-Ring 9/1
75036 Rehau",Altenpfleger,1980-07-25,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Delia Gertz,bruderanne@example.com,+49 (0) 5786 700439,"Steinbergplatz 21
33400 Donaueschingen",Altenpfleger,1991-05-10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Frithjof Kramer B.Eng.,brita58@example.com,+49 (0) 9284 346303,"Antonius-Wähner-Ring 260
45628 Neunburg vorm Wald",Artist,1956-09-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Richard Sager B.Eng.,janna00@example.net,0759184900,"Trubplatz 971
63712 Hersbruck",Elektroniker,1921-11-16,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Univ.Prof. Hüseyin Heuser,erich94@example.net,+49(0)1008 703462,"Adolphring 92
58882 Ludwigsburg",Artist,1940-06-10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Hakan Meister,andersjanin@example.net,02505 788800,"Keudelring 873
60168 Mettmann",Bankkaufmann,1943-04-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Ehrhard Textor,fstroh@example.com,0488591916,"Schuchhardtplatz 899
97459 Döbeln",Informatiker,1914-05-23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Katharina Warmer,mansottokar@example.com,(02668) 11256,"Bergerweg 214
24123 Sangerhausen",Erzieher,1923-02-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ivan Pölitz,sophieschlosser@example.com,+49(0)2811 00150,"Klara-Pergande-Gasse 3
18176 Germersheim",Pfleger,1970-03-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dr. Eugenia Salz MBA.,esther63@example.com,+49(0)3699 19178,"Bonbachstr. 38
16475 Hannover",Krankenschwester,2022-12-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Delia Schleich,eweitzel@example.org,06077671256,"Roggestraße 28
16778 Lemgo",Chirurgiemechaniker,1912-03-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dr. Max Hellwig B.Eng.,gilda62@example.com,+49 (0) 8547 231478,"Bernd-Harloff-Straße 0/8
30747 Hettstedt",Forstwirt,1971-06-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Siegried Beckmann-Stey,jelenahecker@example.com,(02028) 54998,"Budigplatz 9/0
39637 Saarlouis",Winzer,1913-12-10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Luka Zobel,xhoevel@example.net,09401152116,"Susi-Buchholz-Weg 7
73219 Bergzabern",Koreanistiker,1976-11-04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Athanasios Lehmann,brunhilde97@example.net,(08997) 762539,"Francoise-Neureuther-Straße 2/4
38090 Schwarzenberg",Drogist,1997-12-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Axel Weiß,hauffervassilios@example.com,+49(0)8816 565365,"Schwitalgasse 316
18777 Bad Liebenwerda",Programmierer,1941-02-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brita Scheibe,theresa83@example.org,01202 22521,"Klappplatz 233
73743 Hohenmölsen",Techniker,1955-06-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ing. Amalia Zimmer B.A.,schulzkaren@example.net,+49(0)9806 071286,"Steystraße 1
17121 Uffenheim",Bankkaufmann,1982-12-05,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gönül Staude B.Sc.,pirmin47@example.org,+49 (0) 6102 784440,"Tschentscherstraße 85
51546 Bad Mergentheim",Chirurgiemechaniker,2013-06-02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Univ.Prof. Anneke Junken B.Eng.,svenjajunitz@example.net,03863366233,"Adem-Vollbrecht-Gasse 94
71965 Mittweida",Florist,1996-10-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aenne Hornig,suse00@example.org,+49(0)4804 56637,"Linkering 812
17712 Miltenberg",Forstwirt,1955-01-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Necati Roht,swantje49@example.com,00256 78174,"Evamaria-Pieper-Ring 9/2
51397 Sulzbach-Rosenberg",Mathematiker,2023-06-23,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ing. Sabine Hethur B.Eng.,bschmiedt@example.net,00158166095,"Rädelring 7
47472 Belzig",Elektroniker,2006-01-20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Lilian Karge B.A.,hans-hermann19@example.org,+49(0)4350094883,"Eberhardtstr. 100
03904 Pasewalk",Chirurgiemechaniker,1960-03-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Clemens Rust,stolzenora@example.com,+49(0)4009009124,"Astrid-Müller-Platz 3
88231 Artern",Augenoptiker,1953-12-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dipl.-Ing. Peter Ernst MBA.,vstumpf@example.net,08920 18480,"Dobesgasse 7/9
84107 Grevenbroich",Arzt,2014-11-20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Hedwig Finke,belinda59@example.net,02974 934438,"Hermine-Kroker-Straße 032
08326 Einbeck",Fleischer,2010-02-24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dipl.-Ing. Alexa Siering,wibkegutknecht@example.net,08127 45444,"Gotthardweg 57
81035 Roding",Asphaltbauer,1923-11-30,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dominic Graf,kunibert57@example.org,(06947) 54457,"Clarissa-Hande-Allee 0
48123 Kusel",Koreanistiker,1990-01-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Univ.Prof. Albrecht Pohl B.Eng.,plosekann@example.net,02443796626,"Romana-Hermann-Allee 48
08290 Celle",Erzieher,2006-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Dariusz Preiß B.Sc.,aotto@example.net,04399 758760,"Mariusz-Etzler-Ring 2
39658 Weimar",Informatiker,1968-11-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
